Title,Author,Price,Rating,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Synopsis,URL
The Art of Laziness: Overcome Procrastination & Improve Your Productivity,Library Mindset,Rs. 478,3.0,N/A,N/A,Arts And Photography,182 Pages,130g,9780143469124,English,"Arts and Photography:, Business and Investing:, Self Improvement and Relationships:, Arts and Photography:, Business and Investing:, Self Improvement and Relationships:","Do you constantly feel unmotivated to work on your dreams?
If the answer is yes, then this book is for you. Laziness stops us from enjoying the little time we have. It doesn't help you accomplish your goals. It stops you from starting anything new. It makes your life miserable.
This book will teach you:
How to overcome laziness
How to stop procrastination
How to improve your productivity",https://booksmandala.com/books/the-art-of-laziness-overcome-procrastination-improve-your-productivity-73141
The Gruffalo,Julia Donaldson,Rs. 720,N/A,Only 3 item left in stock!,N/A,Arts And Photography,33 Pages,196g,9781509804757,English,"Kids and Teens:, Arts and Photography:, Kids and Teens:, Arts and Photography:","A mouse took a stroll through the deep dark wood. A fox saw the mouse and the mouse looked good. Walk further into the deep dark wood, and discover what happens when a quick-witted mouse comes face to face with an owl, a snake . . . and a hungry Gruffalo! Julia Donaldson and Axel Scheffler's The Gruffalo is an undisputed modern classic and has become a best-selling phenomenon across the world with over 13.5 million copies sold. This award-winning rhyming story of a mouse and a monster has found its way into the hearts and bedtimes of an entire generation of children and will undoubtedly continue to enchant children for years and years to come. No home should be without The Gruffalo! This edition features the classic story with a stunning redesigned cover and beautiful finish, making it a must-have addition to the bookshelves of all Donaldson and Scheffler fans - big and small! Also available with redesigned covers are The Gruffalo's Child, Room on the Broom, The Snail and the Whale, The Smartest Giant in Town, Monkey Puzzle, Charlie Cook's Favourite Book, and A Squash and a Squeeze.",https://booksmandala.com/books/the-gruffalo-12894
Art for kids Colouring Book-1,Dph,Rs. 125,N/A,N/A,N/A,Arts And Photography,29 Pages,100g,BMAD5790BBAADD,English,"Arts and Photography:, Kids and Teens:, Kids and Teens:, Arts and Photography:, Kids and Teens:, Kids and Teens:",Art for kids- Colouring book,https://booksmandala.com/books/art-for-kids-colouring-book-1-36826
"Gruffalo, Where Are You?: a Felt Flaps Book",Julia Donaldon,Rs. 720,N/A,Only 1 item left in stock!,N/A,Arts And Photography,10 Pages,250g,9781529023602,English,"Arts and Photography:, Kids and Teens:, Arts and Photography:, Kids and Teens:","A chunky board book with felt flaps to open on every spread, based on the bestselling modern classic, The Gruffalo, and specially designed for babies.You're never too young to meet a Gruffalo! Turn the satisfyingly chunky board pages and lift the soft felt flaps to meet all your favourite characters from the deep dark wood.Perfect for tiny Gruffalo fans, Grufflalo, Where Are You is part of a charming range of books specially created for babies featuring Julia Donaldson and Axel Scheffler's iconic creation, the Gruffalo. Designed to appeal to even the youngest child, simple patterns and bright colours combine with Axel Scheffler's instantly recognizable artwork to keep babies entertained for hours.",https://booksmandala.com/books/gruffalo-where-are-you-a-felt-flaps-book-12889
Unseen Extremes mapping the world's greatest mountains,"Reinhold Messner,",Rs. 2560,N/A,N/A,N/A,Arts And Photography,240 Pages,2160g,9780500518892,English,"Arts and Photography:, Travel:, Arts and Photography:, Travel:","Mountains marks a new milestone in Earth observation and Alpine exploration. For the first time, a special recording process and a technique developed at the German Aerospace Center (DLR) allow the satellite recording of three-dimensional views from 300 miles above with a resolution in the range of a few meters. Photorealistic images are created in this manner from perspectives denied even to mountaineers and helicopter pilots.In addition to highly accurate detailed models of individual regions, the DLR generates a global three-dimensional elevation model of Earth in unprecedented quality. For this purpose, two German satellites are currently circling the earth at a speed of more than 15,000 miles per hour--separated by a mere 500 feet. Taken together, both techniques offer a detailed view of a world that still pushes human beings to their limits--the mountainous regions of our planet. For this book Reinhold Messner has selected thirteen peaks and routes to feature, as they've never been seen before.",https://booksmandala.com/books/unseen-extremes-mapping-the-worlds-greatest-mountains-34667
The Conquest of Everest,George Lowe and,Rs. 3000,N/A,N/A,N/A,Arts And Photography,239 Pages,1500g,9780500544235,English,"Arts and Photography:, Arts and Photography:, Nepali:, Arts and Photography:, Arts and Photography:, Nepali:","Published to mark the sixtieth anniversary of the conquest of Mount Everest, this visually spectacular book features a trove of original photographs and other rare materials from the George Lowe collection, many unpublished, complemented by classic images from the final ascent. Stunning landscapes, candid portraits, and action shots describe the day-by-day moments of the historic expedition as never before.The extraordinary journey is retold from Lowe's point of view, capturing the drama of the expedition and the personal stories of those involved. In addition, earlier attempts at climbing the world's highest mountain and key later ascents are described. The book also includes contributions from an impressive team of mountaineers and explorers, including Reinhold Messner, Sir Chris Bonington, the late Sir Edmund Hillary, Peter Hillary, Doug Scott, Stephen Venables, Norbu Tenzing Norgay, Tom Hornbein, Kenton Cool, and Jan Morris.Not only the anniversary of the first successful ascent, 2013 also marks fifty years since the first American ascent and the epic first ascent of the West Ridge.",https://booksmandala.com/books/the-conquest-of-everest-31314
Soothing Pattern,Unassigned,Rs. 798,N/A,Only 3 item left in stock!,N/A,Arts And Photography,176 Pages,520g,9781785570001,English,"Arts and Photography:, Arts and Photography:","A description of this book has not been provided by the author/publisher. However, Soothing Pattern is available for purchase at Books Mandala.",https://booksmandala.com/books/soothing-pattern-10240
Pokemon Colouring Book,Dhoju,Rs. 70,N/A,N/A,N/A,Arts And Photography,32 Pages,70g,BM67FB32E21C74,English,"Arts and Photography:, Kids and Teens:, Arts and Photography:, Kids and Teens:",Specially designed for Children.,https://booksmandala.com/books/pokemon-colouring-book-73132
kathmandu Valley Style,Gautam Sjb Rana,Rs. 4800,N/A,Only 1 item left in stock!,N/A,Arts And Photography,183 Pages,1550g,9781932476347,English,"Nepali:, Arts and Photography:, Nepali:, Arts and Photography:","Nepal is widely acclaimed for its unique art and architectural styles. The ancient palaces, temples, courtyards and streetscapes of Kathmandu Valley are protected as no less than seven World Heritage Sites. Shrines are worshipped daily as part of Nepal's vibrant living heritage. Recent efforts to preserve the architectural heritage of Kathmandu have carefully and authentically restored many of the Valley s important public monuments. Lesser known are the recent imaginative and adaptive use of Nepali architecture and decorative styles into new buildings and private homes. Kathmandu Valley Style captures the wealth of the past and illustrates how influences from the Malla Newar, Tibetan and Rana architecture have been incorporated into present-day buildings and lifestyles. Using traditional themes and building techniques in the restored historic and new structures has breathed fresh life into Kathmandu s rich living cultural heritage, and provided additional attractions for visitors. Kathmandu Valley Style features over 40 historic and new buildings, many of them never before photographed or published. Reinforcing national pride in Nepal's vernacular architecture, this unique collection demonstrates how traditional art and architecture can be successfully incorporated into homes for today's changing world. The book will appeal to residents, visitors, tourists, and all who love Nepal, as well as devotees of fine books on art, architecture, and interior design.",https://booksmandala.com/books/kathmandu-valley-style-2474
Nepal A pictorial Journey,Dinesh. Shrestha,Rs. 1150,N/A,Only 1 item left in stock!,N/A,Arts And Photography,128 Pages,690g,9789993347392,English,"Arts and Photography:, Arts and Photography:, Nepali:, Arts and Photography:, Arts and Photography:, Nepali:","That is what Nepal remained up until a few decades ago, hardly noticed or mentioned by any except being occasionally alluded to in association with Mt. Everest and the Himalayas. As the country shed the shackles of self-imposed isolationism in 1950s, the iron gates finally opened, but just ajar, allowing only the truly interested, intrigued or initiated explorers, researchers and visitors. Thanks to Kirkpatricks, Hillarys and Hagens and their inspiring works and feats that Nepal soon caught the attention and imagination of the people around the world. This tiny Himalayan Shangri-La is, in fact, a land of wonders, a land of superlatives: one of the poorest countries with one of the richest cultures, one of the smallest with the most rugged terrain and the highest mountains, and this list could go on. It’s a country where Man and God, Nature and Supernatural live in harmony, in a close symbiotic relationship. In the ancient times, sadhus and monks thronged to it as their Promised Land for transcendental meditation and nirvana. In the modern times, during 1960s and 70s,hippies of the world made it their haven and called it a heaven. And, all through the ages, diverse people from the north and the south with visibly distinctive forms and features, languages and cultures sought here shelter converting this tiny nation into a veritable mosaic of variegated ethnicity of Tibetan, Tibeto-Burman, Aryan and Mongoloid origins. However, it is primarily in how nature has manifested herself and edified the ethos of this nation that its pristine beauty and uniqueness lie. Looking towards the north, one can see from any of the numerous vantage points a kaleidoscopic spectrum of colors and patterns – from the lush green hills teeming with colorful flowers to the barren rocky steep surfaces and plateaus to the sky-piercing snow clad peaks of the Himalayas. The 800 km long stretch of Nepal Himalayas boast eight highest mountain peaks (above 8,000 m) of the world including Mt. Everest. And, nowhere but in Nepal can one walk through a labyrinth of such contrasting divergence in topography, biodiversity, climatic conditions and environmental variations within a distance of 125 miles (200 km), the total width of the country from north to south. This tiny Himalayan Shangri-La, just over 0.1% of the earth’s land surface, has the pride of being the natural habitat of 4.2% butterflies (635 species), 2.2 % of fresh water fish (185 species), 1.1 % amphibians (43 species), 1.5% reptile (100 species), 8.5% of birds (860 species) and 4.2% mammals (181 species) at the global scale and 6500 species of trees, bushes and flowers. Agriculture, though still very traditional, is the mainstay of national economy and the livelihood of the people. And, the farming patterns and the people’s lifestyle literally follow the rhythm and pattern of the hills and mountains and the vagaries of nature. The fertile plains of the south, the carved out terraces in the mid hills and the seasonal pastures of the high mountains support and yield an amazing variety of crops and animals from tropical/subtropical to alpine species. Likewise, the religious practices and rituals combine the local environment-friendly features and the universal spiritual needs of humankind. The two major religions, Hinduism and Buddhism, coexist independently but in perfect harmony. In most places, their sacred deities placed side by side to worship for the devotees of both religions, they are indistinguishable. No place in the world is possibly so populated with a variety of sacred spots: mountains and passes, creeks and crevasses as the abode or personified image of gods and goddesses; river confluences as the meeting point of cosmic energy and deities; exotic flora and fauna as demigods or objects of spiritual merit; rocks and ammonites as the icons and symbols of the supernatural being for the people of all faiths – Hinduism, Buddhism or animism. And, as the book clearly portrays, Nepal has something unique to offer to the people of all kinds of needs, interests, temperament and disposition. There abound rapid Himalayan waters, and creeks and cliffs for rafting and bungee jumping for the fun-venturous; untrodden trails in virgin territories for the ardent trekkers; unmatched pilgrimage sites for the religious; unspoilt natural and cultural heritages for the connoisseurs; a living laboratory to assess the effects of global warming and the ills of modern development on nature and human beings for the scientists and researchers; and above all, the towering snow-clad peaks of the Himalayas to the truly adventurous. Nepal indeed deserves a visit in one’s lifetime, but a single visit, we know, will only serve as an appetizer.",https://booksmandala.com/books/nepal-a-pictorial-journey-2669
