Title,Author,Price,Rating,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,URL
"A Photographic Field Guide to the Birds of India, Pakistan, Nepal, Bhutan, Sri Lanka, and Bangladesh","Bikram Grewal, ",Rs. 3040,N/A,Arts And Photography,792 Pages,1510g,9780691176499,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/a-photographic-field-guide-to-the-birds-of-india-pakistan-nepal-bhutan-sri-lanka-and-bangladesh-8112
tibet,Kazuyoshi Nomachi,Rs. 3000,N/A,Arts And Photography,N/A,1500g,9789628711550,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/tibet-44330
The Complete Guide to Climbing and Mountaineering,Pete Hill,Rs. 3000,N/A,Arts And Photography,246 Pages,1250g,9780715328422,English,"Arts and Photography:, Arts and Photography:, Travel:, Arts and Photography:, Arts and Photography:, Travel:",https://booksmandala.com/books/the-complete-guide-to-climbing-and-mountaineering-28338
Nepal-Britain Bicentenary Exhibition 2017,Unassigned,Rs. 4000,N/A,Arts And Photography,145 Pages,1060g,9789937928816,English,"Arts and Photography:, Nepali:, Arts and Photography:, Nepali:",https://booksmandala.com/books/nepal-britain-bicentenary-exhibition-2017-15653
People of the high plateau,Carl Berman,Rs. 1250,N/A,Arts And Photography,114 Pages,890g,b3091,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/people-of-the-high-plateau-9059
Chinese Patterns,Pepin Van Roojen,Rs. 2074,N/A,Arts And Photography,110 Pages,480g,9789057680069,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/chinese-patterns-34482
Silence No Longer Artivism of Ashmina,Unassigned,Rs. 4400,N/A,Arts And Photography,163 Pages,960g,9789937928830,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/silence-no-longer-artivism-of-ashmina-15652
Calming Nature,Unassigned,Rs. 560,N/A,Arts And Photography,N/A,215g,9781785579103,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/calming-nature-15298
The Icelandic Voyage,Amit Gupta,Rs. 784,N/A,Arts And Photography,159 Pages,822g,9789386148087,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/the-icelandic-voyage-33426
Buddist Pilgrimage,Unassigned,Rs. 520,N/A,Arts And Photography,80 Pages,350g,b2641,Japanese,"Arts and Photography:, Religion:, Arts and Photography:, Religion:",https://booksmandala.com/books/buddist-pilgrimage-9019
Kumbha Mela,Rosa Maria Cimino,Rs. 1432,N/A,Arts And Photography,199 Pages,510g,b2045,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/kumbha-mela-35303
Elton John by O'Neill,Terry O'Neill,Rs. 3198,N/A,Arts And Photography,256 Pages,1275g,9781788401487,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/elton-john-by-oneill-40860
The Swan Thieves,Elizabeth Kostova,Rs. 632,N/A,Arts And Photography,611 Pages,485g,9780751541427,English,"Arts and Photography:, Fiction and Literature:, Fiction and Literature:, Arts and Photography:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/the-swan-thieves-24255
TIBET AN INNER JOURNEY,Matthieu Ricard,Rs. 952,N/A,Arts And Photography,N/A,1620g,9780500543320,English,"Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/tibet-an-inner-journey-44328
Born to Run,Bruce Springsteen,Rs. 1278,N/A,Arts And Photography,512 Pages,850g,9781471157790,English,"Arts and Photography:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:",https://booksmandala.com/books/born-to-run-24085
Junior Coloring Book,Dph,Rs. 110,N/A,Arts And Photography,28 Pages,100g,b9000,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/junior-coloring-book-36825
Tibetan Paintings,Pratapaditya Pal,Rs. 4800,N/A,Arts And Photography,N/A,2000g,b2600,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/tibetan-paintings-44346
The Lighthouse Stevensons,Bella Bathurst,Rs. 472,N/A,Arts And Photography,284 Pages,250g,9780007241705,English,"Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-lighthouse-stevensons-37528
Delhi Agra and Jaipur,Unassigned,Rs. 560,N/A,Arts And Photography,84 Pages,350g,9789622171237,English,"Arts and Photography:, Arts and Photography:",https://booksmandala.com/books/delhi-agra-and-jaipur-9025
