Title,Author,Price,List Price,Discount Amount,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Subgenres,Synopsis,URL
The Inner Game of Music,"Barry Green, W. Timothy Gallwey",1040.0,1040.0,0.0,True,0.0,Arts And Photography,248.0,200,9781447291725,English,"['Arts And Photography', 'Self Improvement And Relationships', 'History Biography And Social Science']","['Music', 'Self Help', 'Psychology']","The bestselling guide to improving musical performance The Inner Game of Music is the battle that all musicians have to fight against elusive opponents such as nervousness, self-doubt and fear of failure. Using the world-famous Inner Game principles, developed by bestselling author Timothy Gallwey, acclaimed musician Barry Green explains the basic principles of 'natural learning' and shows how you can apply them to reach a new level of musical application and performance. In precise, easy to understand language, Green and Gallwey explain how natural skills - such as awareness, trust and willpower - can be nurtured and enhanced. Through a series of tailored exercises The Inner Game of Music demonstrates the ways in which musicians can achieve exact intonations, artistic phrasing and improved technique. There are also chapters on ensemble playing, improvisation, composition and creativity, as well as listening skills - an essential part of the Inner Game. Following a methodology with a proven track record for generations of aspiring and professional musicians, The Inner Game of Music is invaluable to anyone seriously interested in music, and is guaranteed to deliver positive results whether you are a student, teacher, performer, or simply an appreciative listener.",https://booksmandala.com/books/the-inner-game-of-music-27475
The Nepalis a pictorial celebration,"Deepak Thapa, Narendra. Pradhan",1500.0,1500.0,0.0,True,0.0,Arts And Photography,116.0,515,9789993347378,English,"['Arts And Photography', 'Nepali']","['Picture Books', 'Books on Nepal']","Visitors to Nepal are very often struck by the wide variety of Nepali faces they encounter Name and nationality and think of a stereotype that fits the country, and it is very likely that there is a Nepali who fits the image. This is the result of centuries of migration from carious part of Asia and the socio-cultural assimilation that goes with such movements of people. It is this diversity that photographer Narendra Pradhan presents in this book in celebration of fellow Nepalis.",https://booksmandala.com/books/the-nepalis-a-pictorial-celebration-2594
Lust for Life,Irving Stone,1118.0,1118.0,0.0,True,0.0,History Biography And Social Science,479.0,370,9781787461390,English,"['History Biography And Social Science', 'Arts And Photography']","['Biography', 'Memoir', 'Art']","Since its initial publication in 1934, Irving Stone's Lust For Life has been a critical success, a multimillion-copy bestseller, and the basis for an Academy Award-winning movie. The most famous of all of Stone's novels, it is the story of Vincent Van Gogh —brilliant painter, passionate lover, and alleged madman. Here is his tempestuous story: his dramatic life, his fevered loves for both the highest-born women and the lowest of prostitutes, and his paintings —for which he was damned before being proclaimed a genius. The novel takes us from his desperate days in a northern coal mine to his dazzling years in the south of France, where he knew the most brilliant artists (and the most depraved whores). Finally, it shows us Van Gogh driven mad, tragic and triumphant at once. No other novel of a great man's life has so fascinated the American public for generations",https://booksmandala.com/books/lust-for-life-32356
The Architecture Book,Dk Publishing,2238.0,2238.0,0.0,True,0.0,Arts And Photography,335.0,1200,9780241415030,English,"['Arts And Photography', 'Learning And Reference']","['Architecture', 'Science']","Discover the key architectural concepts behind the world's most incredible buildings and structures. The Architecture Book goes beyond other architecture books to analyse not just buildings themselves, but the ideas and principles that make each of the featured structures key to the history and evolution of our built environment. From ancient and classical architecture through Medieval, Gothic, and Renaissance buildings, the explosion of Baroque and Rococo, and the 19th-century ""battle of the styles"", to the emergence of modernism, postmodernism, and the glittering skyscrapers of the 20th and 21st centuries, the book traces the evolution of construction. Using stunning infographics and mind-maps, it shows how architects throughout history have pushed boundaries and created innovative buildings. Examples of architectural movements and styles are drawn from all over the world and celebrated buildings from Europe and North and South America feature alongside key examples from China, Japan, and India, and stunning religious structures from mosques to churches, and from stupas to pagodas and temples. Offering a fresh perspective on our man-made environment, The Architecture Book is the essential guide for everyone who is passionate about buildings and the ideas behind them.",https://booksmandala.com/books/the-architecture-book-50197
The World According to Colour,James Fox,1438.0,1438.0,0.0,True,0.0,History Biography And Social Science,295.0,290,9780141976655,English,"['History Biography And Social Science', 'Arts And Photography', 'Learning And Reference']","['History', 'Design', 'Art', 'Science']","A beguiling cultural history of colour, by one of the rising stars of art history. The subject of this book is mankind's extraordinary relationship with colour. It is composed of a series of voyages, ranging across the world and throughout history, which reveal the meanings that have been attached to the colours we see around us and the ways these have shaped our culture and imagination. It takes seven primary colours - black, red, yellow, blue, white, purple and green - and uncovers behind each a root idea, based on visual resemblances or properties so rudimentary as to be common to all societies.0The book traces these meanings to show how they changed and multiplied, the role that they have played in our culture and history, and how understanding them allows us to see many of the milestones in the history of art - from Bronze Age gold-work to Turner, Titian to Yves Klein - in a new way. It proceeds by stories, which cumulatively tell another, larger one- a history of the world from the black nothing which preceded existence to the birth of our red-blooded species; the gilded gods who animated the world in antiquity to the blue horizons which framed the Age of Discovery; the pristine aspirations of Enlightenment, the technicolour innovation which fuelled the Industrial Revolution and the colour which most embodies the environmental crisis which now faces us.",https://booksmandala.com/books/the-world-according-to-colour-70853
Design Your Thinking,Pavan Soni,958.0,958.0,0.0,True,0.0,Business And Investing,384.0,560,9780670094097,English,"['Business And Investing', 'Arts And Photography', 'History Biography And Social Science']","['Business', 'Design', 'Psychology']","Creative problem-solving is at the heart of innovation, and some of the world's most innovative companies are very systematic in following this approach. Most people would assume that creativity and discipline can't coexist, and that only when resources are replete and the talent best-in-class can one be creative. But nothing could be further from the truth. In fact, creativity thrives amid constraints and calls for great discipline. Pioneered by IDEO and Stanford d.school, design thinking is one such approach that draws inspiration from the realm of product design. However, it shouldn't be narrowly associated with the world of start-ups and technology or thought of as something limited to product development. The method is increasingly being used in a wider context and can help us address a vast array of problems. This book attempts to offer a practitioner's perspective on how the tenets, methods and discipline of design thinking can be applied across a range of domains, including to everyday problems, and help us become expert problem-solvers through the use of the appropriate toolsets, skill sets and mindsets.",https://booksmandala.com/books/design-your-thinking-6994
Wabi Sabi : The Wisdom In Imperfection,"Nobuo Suzuki, Hector Garcia Puigcerver",880.0,880.0,0.0,True,0.0,Self Improvement And Relationships,159.0,300,9780804855860,English,"['Self Improvement And Relationships', 'Spirituality And Philosophy', 'Arts And Photography']","['Self Help', 'Stress Management', 'Philosophy', 'Art']","Wabi Sabi is the Japanese Zen philosophy that all things are imperfect, unfinished and impermanent. It is a fresh way of seeing and moving through the world when our lives, literally and figuratively, feel cluttered. This book shows us how to apply this concept in the context of daily life and offers ideas on how to see it, embrace it and incorporate it into everyday thoughts, objects and situations. In a simple and accessible style, Wabi Sabi: The Wisdom in Imperfection shows you how embracing imperfections and impermanence frees you to become a better person, by reevaluating what ""better"" means?what really matters and what you truly want. A few simple challenges and exercises encourage you to get creative?such as a Wabi Sabi diary, a haiku exercise and a ""make art"" challenge?plus some tips on minimizing and decluttering (mentally and physically) for a simpler life. It allows you to mindfully make space in your head, home and with your time. In the foreword, Hector Garcia? the bestselling author of Ikigai: The Japanese Secret to a Long and Happy Life?introduces readers to the Wabi Sabi aesthetic and shares his personal Wabi Sabi journey: from being asked about it on live TV fifteen years ago (before he knew what it was) to today, when it permeates every aspect of his life...",https://booksmandala.com/books/wabi-sabi-the-wisdom-in-imperfection-6972
The Art Book,"Dorling Kindersley Publishing Staff, Dorling Kindersley",2078.0,2078.0,0.0,True,0.0,Arts And Photography,352.0,1260,9780241239018,English,['Arts And Photography'],"['Design', 'Art']","Embark on a tour of the world's greatest artistic movements and works, from prehistoric cave paintings to performance art with The Art Book, the latest in the stunning Big Ideas series. The Art Book explores the most celebrated artworks by history's most influential painters, sculptors, and artists with stunning visuals and insightful quotes. Discover profiles of the most important artists from across the globe, stretching from the prehistoric Altamira cave paintings and Chinese jade carvings to movements including impressionism, symbolism, and cubism. Understand the ideas which inspired masterpieces by Botticelli, Rembrandt, Klimt, Matisse, Picasso, and dozens more, with The Art Book'sfascinating coverage of painting, drawing, printing, sculpture, conceptual art, and performance art, from ancient history to the modern day.",https://booksmandala.com/books/the-art-book-17689
Colouring book : Copy Colour Fruits and Vegetables,Om Books International,142.0,142.0,0.0,True,0.0,Kids And Teens,16.0,86,9789353766047,English,"['Kids And Teens', 'Arts And Photography']","['Ages 3 to 5', 'Coloring Books']",A delightful book that gives toddlers loads of fun moments as they copy and fill each beautiful illustration with bright colours.,https://booksmandala.com/books/colouring-book-copy-colour-fruits-and-vegetables-70587
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration","Ed Catmull, Amy Wallace",1438.0,1438.0,0.0,True,0.0,Business And Investing,340.0,490,9780593070109,English,"['Business And Investing', 'Self Improvement And Relationships', 'History Biography And Social Science', 'Arts And Photography']","['Business', 'Management', 'Leadership', 'Biography', 'Design']","As a young man, Ed Catmull had a dream: to make the world’s first computer-animated movie. He nurtured that dream first as a Ph.D. student at the University of Utah, where many computer science pioneers got their start, and then forged an early partnership with George Lucas that led, indirectly, to his founding Pixar with Steve Jobs and John Lasseter in 1986. Nine years later and against all odds, Toy Story was released, changing animation forever. Since then, Pixar has dominated the world of animation, producing such beloved films as Monsters, Inc., Finding Nemo, The Incredibles, Up, and WALL-E, which have gone on to set box-office records and garner twenty-seven Academy Awards. The joyousness of the storytelling, the inventive plots, the emotional authenticity: In some ways, Pixar movies are an object lesson in what creativity really is. Now, in this book, Catmull reveals the ideals and techniques, honed over years, that have made Pixar so widely admired—and so profitable. Creativity, Inc. is a book for managers who want to lead their employees to new heights, a manual for anyone who strives for originality, and the first-ever, all-access trip into the nerve center of Pixar Animation Studios—into the story meetings, the postmortems, and the ‘Braintrust’ sessions where art is born. It is, at heart, a book about how to build and sustain a creative culture—but it is also, as Pixar co-founder and president Ed Catmull writes, ‘an expression of the ideas that I believe make the best in us possible.",https://booksmandala.com/books/creativity-inc-overcoming-the-unseen-forces-that-stand-in-the-way-of-true-inspiration-32349
